team1,team2,group,ground,team1_goals,team2_goals,prob_team1,prob_draw,prob_team2,result,rating1,rating2,host_country,round
Argentina,Egypt,,Atlanta,3,0,0.7720290568767174,0.19529332974227612,0.03267761338100652,team1,1877.266571,1562.367246,USA,Round of 16
Brazil,Norway,,New York/New Jersey (East Rutherford),2,1,0.6214066055587687,0.2277198551644417,0.15087353927678962,team1,1765.856297,1557.437664,USA,Round of 16
Canada,Morocco,,Houston,1,2,0.19679798149625138,0.24053004002106354,0.5626719784826851,team2,1559.479301,1755.100232,USA,Round of 16
Mexico,England,,Mexico City,1,2,0.196782057220344,0.24052540888443286,0.5626925338952232,team2,1687.481759,1827.048678,Mexico,Round of 16
Paraguay,France,,Philadelphia,0,4,0.016742490339015658,0.18971691425695647,0.7935405954040279,team2,1505.349689,1870.696162,USA,Round of 16
Portugal,Spain,,Dallas (Arlington),1,2,0.19780145380428632,0.24082219630117063,0.561376349894543,team2,1766.177547,1874.710778,USA,Round of 16
Switzerland,Colombia,,Vancouver,1,2,0.3224597685714501,0.2856918729536567,0.3918483584748932,team2,1650.064179,1698.351858,Canada,Round of 16
USA,Belgium,,Seattle,1,1,0.3143764541545818,0.2819669424871281,0.4036566033582901,draw,1671.2341,1742.235945,USA,Round of 16
